"","lower","best","upper"
"C1",0.0101825643583523,0.0102681291045067,0.0103679544075518
"C2",0.1007046857778,0.101868688113128,0.10293322308476
"h1",2.04579639199617,2.0862264011022,2.1219474894957
"h2",1.02047306538403,1.03078241333158,1.04118420684309
"delta",0.804986470231964,0.813593958933348,0.823399082473417
"E0",0.995700293157219,0.997465394469165,0.998650054199812
"E1",0.401247004109563,0.402482711524278,0.403607543730383
"E2",0.198522199794086,0.201145056179504,0.20355718765247
"E3",-0.462194596639963,-0.459609448321029,-0.456857032109988
