"","lower","best","upper"
"C1",0.0103153277156509,0.0104775025184634,0.0106348911283504
"C2",0.101599451627345,0.103685431993503,0.105408308275991
"h1",2.07220462916712,2.15096619419357,2.22977323774863
"h2",1.02674775789083,1.04176806637277,1.06075089260251
"delta",0.478986469785675,0.525293563096861,0.630891550748407
"kappa",0.537906725343605,0.998408053533056,1.37543629323821
"E0",0.993854732428953,0.996095549147378,0.998780090686273
"E1",0.40463518646063,0.407290402742495,0.409584648491115
"E2",0.198883537542797,0.202320801041127,0.206176963811217
"E3",-0.424508161484169,-0.417711734737327,-0.407765067622058
