"","lower","best","upper"
"C1",0.010413610108891,0.0107711585437811,0.0111085110647739
"C2",0.101969134445047,0.106364732752423,0.11142152340513
"h1",2.15084165271921,2.29648993942844,2.47976667339146
"h2",1.06108438185691,1.1015928284977,1.15588258108082
"kappa",-0.144445830124075,-0.0894297919841736,-0.0390886067921656
"E0",0.985478388107462,0.991694779234747,0.995803659166963
"E1",0.396924325233568,0.404164294176961,0.407966030111247
"E2",0.192346269015212,0.200635426600351,0.207165107801793
"E3",-0.270741230172165,-0.243276886668026,-0.22252014989549
