"","lower","best","upper"
"C1",0.00966424641833888,0.00977695730703047,0.00989341678171365
"C2",0.0985039761195638,0.0995376486213029,0.100333575837728
"h1",0.991783773309955,1.00045383832269,1.01030615290542
"h2",3.00833855144757,3.04843736142757,3.08196064992686
"kappa",-0.475715816536422,-0.446838758091671,-0.425868782173208
"E0",0.9976350068096,0.99952771223226,1.00189314266957
"E1",-0.00150193246721849,-0.000109355144092366,0.00144160091825421
"E2",-0.0013310933912697,-0.000179710055594511,0.00127244728416794
"E3",-0.0045320679760895,-0.000179710055594511,0.000214143227517728
