"","lower","best","upper"
"C1",0.00999223955008901,0.0100019183032408,0.0100121930035119
"C2",0.0998403078229581,0.0999234049052373,0.100007660965488
"h1",0.9996062111671,1.00042325097492,1.00123207310451
"h2",3.00783228940063,3.01214718315146,3.01579464882783
"delta",0.581359193468731,0.582456289326524,0.584403685552825
"kappa",0.0071378187026695,0.00933222547845892,0.0117324066014483
"E0",0.999823347098627,0.99997090155426,1.00016432808509
"E1",-7.48494272126882e-05,4.41346881091243e-05,0.000181418124084668
"E2",-7.26857182888532e-05,4.37298503303118e-05,0.000214208686263267
"E3",-0.00167520206677963,-0.00133930333662252,-0.000668135975513733
