"d2","d1","synergy"
0,0,0
0.0001,0,0
0.000359381366380463,0,0
0.00129154966501488,0,0
0.00464158883361278,0,0
0.0166810053720006,0,0
0.0599484250318941,0,0
0.215443469003188,0,0
0.774263682681128,0,0
2.78255940220713,0,0
10,0,0
0,0.0001,0
0.0001,0.0001,-0.000650107532313093
0.000359381366380463,0.0001,-0.0018540063086423
0.00129154966501488,0.0001,-0.00646688808704354
0.00464158883361278,0.0001,-0.0173327407204047
0.0166810053720006,0.0001,-0.0274766750660458
0.0599484250318941,0.0001,-0.0208524842697386
0.215443469003188,0.0001,-0.0105505294882704
0.774263682681128,0.0001,-0.00597871711802611
2.78255940220713,0.0001,-0.00330026932279281
10,0.0001,-0.001636785433206
0,0.000517947467923121,0
0.0001,0.000517947467923121,0.000299311091584542
0.000359381366380463,0.000517947467923121,0.00169810816590932
0.00129154966501488,0.000517947467923121,0.0029458010000587
0.00464158883361278,0.000517947467923121,0.00554900495567345
0.0166810053720006,0.000517947467923121,0.0156516131278508
0.0599484250318941,0.000517947467923121,0.0222974224199817
0.215443469003188,0.000517947467923121,-0.00656634810438561
0.774263682681128,0.000517947467923121,-0.0214195923780238
2.78255940220713,0.000517947467923121,-0.0147569806380261
10,0.000517947467923121,-0.00696254932847751
0,0.00268269579527973,0
0.0001,0.00268269579527973,0.0137053932290812
0.000359381366380463,0.00268269579527973,0.046869924190009
0.00129154966501488,0.00268269579527973,0.142485640877236
0.00464158883361278,0.00268269579527973,0.371531468189986
0.0166810053720006,0.00268269579527973,0.666949821282472
0.0599484250318941,0.00268269579527973,0.606764267383625
0.215443469003188,0.00268269579527973,0.162417006367178
0.774263682681128,0.00268269579527973,-0.0565717761897275
2.78255940220713,0.00268269579527973,-0.058576561852405
10,0.00268269579527973,-0.0287056586496419
0,0.0138949549437314,0
0.0001,0.0138949549437314,0.0505487962941871
0.000359381366380463,0.0138949549437314,0.160475178734501
0.00129154966501488,0.0138949549437314,0.481890933298168
0.00464158883361278,0.0138949549437314,1.23290606824541
0.0166810053720006,0.0138949549437314,2.16157213382466
0.0599484250318941,0.0138949549437314,1.95341333985971
0.215443469003188,0.0138949549437314,0.618668575128936
0.774263682681128,0.0138949549437314,-0.0775773618203175
2.78255940220713,0.0138949549437314,-0.13523447946146
10,0.0138949549437314,-0.0728851157423094
0,0.0719685673001152,0
0.0001,0.0719685673001152,0.0713233858964202
0.000359381366380463,0.0719685673001152,0.191194712743794
0.00129154966501488,0.0719685673001152,0.498952849179588
0.00464158883361278,0.0719685673001152,1.13719320496459
0.0166810053720006,0.0719685673001152,1.84325419990333
0.0599484250318941,0.0719685673001152,1.64874779174912
0.215443469003188,0.0719685673001152,0.626575282170805
0.774263682681128,0.0719685673001152,0.0290937204069479
2.78255940220713,0.0719685673001152,-0.0791710791795595
10,0.0719685673001152,-0.0564602227870097
0,0.372759372031494,0
0.0001,0.372759372031494,0.0300049229148556
0.000359381366380463,0.372759372031494,0.0792852596628961
0.00129154966501488,0.372759372031494,0.202070764203626
0.00464158883361278,0.372759372031494,0.444475980657742
0.0166810053720006,0.372759372031494,0.698399949613034
0.0599484250318941,0.372759372031494,0.641470463747964
0.215443469003188,0.372759372031494,0.307637982106129
0.774263682681128,0.372759372031494,0.0850794218240338
2.78255940220713,0.372759372031494,0.0156892785020659
10,0.372759372031494,0.00103810099096791
0,1.93069772888325,0
0.0001,1.93069772888325,0.00469937947354993
0.000359381366380463,1.93069772888325,0.0147323623015296
0.00129154966501488,1.93069772888325,0.0440556275896853
0.00464158883361278,1.93069772888325,0.108455668645178
0.0166810053720006,1.93069772888325,0.179033080374268
0.0599484250318941,1.93069772888325,0.167347709237148
0.215443469003188,1.93069772888325,0.0845951018010851
0.774263682681128,1.93069772888325,0.0274394129675954
2.78255940220713,1.93069772888325,0.00755898199726346
10,1.93069772888325,0.00205695413643525
0,10,0
0.0001,10,0.000970997842344445
0.000359381366380463,10,0.00304271655133448
0.00129154966501488,10,0.00944592044247372
0.00464158883361278,10,0.0239193495240215
0.0166810053720006,10,0.0394269304558605
0.0599484250318941,10,0.0362653992213211
0.215443469003188,10,0.018153458028408
0.774263682681128,10,0.00586576986538034
2.78255940220713,10,0.00162530158296192
10,10,0.000450608694706034
