"","lower","best","upper"
"C1",0.00966795824048355,0.0100503328687376,0.010465776032398
"C2",0.0991973609225624,0.102762675708497,0.107132274390473
"h1",1.06031132580948,1.08377495498172,1.11063191447833
"h2",1.04054292558318,1.07528834554203,1.10751760119501
"delta",1.0484986702337,1.52126160846565,1.7472863856334
"kappa",-0.270369404440186,-0.119048367052884,0.428659244510445
"E0",0.990577035113472,0.994900406430469,1.00043576981104
"E1",-0.0018235127839431,0.00238960643033291,0.00652030843146852
"E2",-0.00123676179216628,0.00556803906331511,0.0119310292004033
"E3",-0.0347798529653339,-0.0264896445925127,-0.0166084466261005
