"","lower","best","upper"
"C1",0.00983993017423208,0.0101524089558266,0.0105468883707812
"C2",0.0996928548480546,0.103561133458484,0.107707257202559
"h1",1.05443907669056,1.08371645724383,1.10939578492707
"h2",1.04351930855221,1.0743015841704,1.10836974239729
"delta",1.31883804177136,1.38998355469597,1.45508775777536
"E0",0.989634241256891,0.994823944866107,1.00072904179782
"E1",-0.000307010429982749,0.00277365819227138,0.00620930770038243
"E2",0.000414966794598415,0.00601138038934543,0.0121053955673285
"E3",-0.0353961883921563,-0.0269725502418249,-0.018305353530567
